"","age1_orange.S","age2_no_comorbid_orange.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",13,83,3,6,6
"2",15,61,125,44,75
"3",5,54,125,43,75
"4",814,941,125,44,75
"5",12,88,11,5,15
"6",11,70,124,44,75
"7",11,80,125,44,75
"8",812,938,125,44,75
"9",10,76,125,44,75
"10",9,66,125,44,75
"11",12,51,12,9,8
"12",9,70,125,44,75
"13",10,64,2,9,7
"14",5,64,3,5,8
"15",11,53,3,8,11
"16",11,66,8,9,14
"17",18,71,125,44,75
"18",17,59,125,44,75
"19",18,74,125,44,75
"20",9,58,125,44,75
"21",13,67,12,6,21
"22",3,77,7,9,13
"23",814,941,125,44,75
"24",17,72,125,44,75
"25",6,51,125,44,75
"26",10,74,3,10,5
"27",13,62,125,44,75
"28",814,941,125,44,75
"29",12,75,125,44,75
"30",814,941,125,44,75
"31",12,77,125,44,75
"32",12,68,123,44,75
"33",17,79,125,44,75
"34",15,71,10,5,8
"35",11,61,3,4,13
"36",10,65,4,6,10
"37",9,75,10,8,11
"38",6,66,6,7,8
"39",7,60,9,10,13
"40",7,48,125,44,75
"41",13,67,8,9,17
"42",8,63,124,44,75
"43",813,941,125,44,75
"44",4,71,10,8,17
"45",16,70,13,10,17
"46",813,939,125,44,75
"47",814,941,125,44,75
"48",813,937,125,44,75
"49",5,65,4,3,12
"50",12,63,125,44,75
"51",12,74,124,44,75
"52",10,75,125,44,75
"53",5,67,11,7,10
"54",5,57,125,44,75
"55",6,58,125,44,75
"56",10,70,125,44,75
"57",9,71,125,44,75
"58",7,56,9,12,14
"59",11,81,125,44,75
"60",13,64,11,7,8
"61",10,92,125,44,75
"62",13,63,124,42,75
"63",7,59,125,44,75
"64",814,941,125,44,75
"65",12,74,125,44,75
"66",9,74,125,44,75
"67",10,70,125,44,75
"68",9,63,125,44,75
"69",814,941,125,44,75
"70",14,73,14,9,21
"71",814,941,125,44,75
"72",4,53,8,2,9
"73",814,941,125,44,75
"74",9,71,125,44,75
"75",13,69,124,44,75
"76",8,69,125,44,75
"77",18,76,125,44,75
"78",14,81,125,44,75
"79",14,73,125,44,75
"80",10,63,124,44,75
"81",10,64,125,44,75
"82",9,81,7,4,17
"83",8,67,125,44,75
"84",11,77,9,4,10
"85",6,63,11,3,19
"86",17,62,7,6,7
"87",814,941,125,44,75
"88",9,66,125,44,75
"89",8,56,9,12,16
"90",8,82,9,7,10
"91",814,941,125,44,75
"92",8,55,125,44,75
"93",13,52,9,7,20
"94",11,70,125,44,75
"95",12,72,13,10,16
"96",13,63,125,44,75
"97",15,67,125,44,75
"98",12,86,5,15,14
"99",14,70,125,44,75
"100",11,59,14,9,15
"101",7,69,125,44,75
"102",13,80,8,3,16
"103",6,62,125,44,75
"104",12,69,122,42,75
"105",11,69,125,44,75
"106",5,57,125,44,75
"107",814,940,125,44,75
"108",814,941,125,44,75
"109",6,79,125,43,75
"110",14,62,125,44,75
"111",11,74,125,44,75
"112",13,64,125,44,75
"113",814,941,125,44,75
"114",13,53,125,44,75
"115",8,56,13,12,14
"116",8,69,125,44,75
"117",10,79,7,6,16
"118",17,58,125,44,75
"119",12,63,125,44,75
"120",9,78,7,9,10
"121",15,73,125,44,75
"122",15,111,123,44,75
"123",10,73,125,44,75
"124",4,68,125,44,75
"125",13,73,21,16,20
"126",10,78,125,44,73
"127",10,72,125,44,75
"128",5,65,7,13,15
"129",814,941,125,44,75
"130",10,63,5,4,10
"131",15,85,125,44,75
"132",814,941,125,44,75
"133",813,941,125,44,75
"134",12,79,125,44,75
"135",11,84,125,44,74
"136",12,59,123,44,75
"137",814,941,125,44,75
"138",11,74,15,10,6
"139",814,941,125,44,75
"140",11,72,125,44,75
"141",6,77,125,44,75
"142",12,72,1,9,9
"143",10,80,125,44,75
"144",10,56,6,6,7
"145",9,57,125,44,75
"146",7,40,6,8,10
"147",6,75,125,44,75
"148",18,54,7,9,14
"149",814,941,125,44,75
"150",10,78,125,44,75
"151",12,69,125,44,75
"152",814,941,125,44,75
"153",6,40,125,44,74
"154",814,941,125,44,75
"155",5,61,125,43,75
"156",12,65,12,8,11
"157",12,87,125,43,75
"158",814,941,125,44,75
"159",12,72,125,44,75
"160",6,73,125,44,75
"161",11,62,125,44,75
"162",14,81,9,8,14
"163",11,83,125,44,75
"164",814,941,125,44,75
"165",10,56,10,9,10
"166",14,75,123,44,75
"167",10,65,125,44,75
"168",12,81,125,44,75
"169",10,77,125,44,75
"170",814,941,125,44,75
"171",13,79,125,44,75
"172",814,941,125,44,75
