"","age1_orange.S","age2_no_comorbid_orange.S","age2_comorbid_orange.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",2,31,7,44,75
"2",814,941,125,44,75
"3",7,50,4,44,74
"4",1,37,3,44,75
"5",8,46,7,5,13
"6",2,58,7,7,10
"7",5,44,8,44,75
"8",11,41,2,44,74
"9",3,49,7,44,74
"10",5,26,6,44,75
"11",4,27,6,44,75
"12",8,54,4,8,11
"13",6,40,3,44,75
"14",2,44,7,17,14
"15",5,40,5,4,12
"16",2,38,9,4,9
"17",9,39,5,44,75
"18",8,47,6,44,75
"19",3,45,6,44,75
"20",1,41,6,6,4
"21",813,941,125,44,75
"22",8,52,7,44,75
"23",3,51,3,44,75
"24",5,44,6,7,14
"25",9,51,9,44,75
"26",3,54,4,44,75
"27",814,941,125,44,75
"28",5,49,4,44,75
"29",4,37,7,8,36
"30",4,36,3,43,75
"31",4,43,7,4,5
"32",814,941,125,44,75
"33",9,29,1,7,10
"34",6,54,6,44,73
"35",3,49,4,8,14
"36",7,41,6,44,75
"37",2,30,5,6,6
"38",5,32,9,10,17
"39",2,51,3,44,75
"40",814,941,125,44,75
"41",6,46,3,2,11
"42",3,54,3,44,75
"43",813,941,125,44,75
"44",8,56,6,11,11
"45",5,36,6,5,9
"46",3,36,11,6,12
"47",814,941,125,44,75
"48",6,42,4,8,22
"49",1,30,2,43,75
"50",7,39,3,6,7
"51",814,941,125,44,75
"52",7,40,10,44,75
"53",7,37,5,6,13
"54",3,39,2,9,14
"55",1,47,3,44,72
"56",9,39,6,44,75
"57",5,44,7,44,75
"58",814,940,125,44,75
"59",4,29,8,44,75
"60",5,42,6,3,4
"61",814,941,124,44,75
"62",7,50,10,7,17
"63",5,52,3,44,75
"64",3,42,7,44,75
"65",814,941,125,44,75
"66",5,56,3,43,75
"67",814,941,125,44,75
"68",3,30,7,44,73
"69",9,51,10,44,75
"70",7,45,4,44,74
"71",6,53,5,3,7
"72",11,47,3,44,75
"73",5,44,5,6,14
"74",814,941,125,44,75
"75",2,36,4,1,7
"76",5,42,2,44,75
"77",4,42,5,19,38
"78",6,41,4,7,14
"79",5,39,7,44,75
"80",2,26,8,44,75
"81",814,941,125,44,75
"82",7,54,14,6,13
"83",6,33,4,11,25
"84",4,43,9,44,75
"85",3,40,7,44,75
"86",9,50,5,44,75
"87",2,55,8,44,75
"88",8,52,7,1,6
"89",5,34,7,44,75
"90",7,44,8,8,17
"91",3,31,4,44,75
"92",10,50,8,3,8
"93",7,38,4,44,75
"94",1,47,3,44,75
"95",2,38,8,12,18
"96",7,52,4,9,7
"97",7,55,12,44,74
"98",9,39,5,5,12
"99",7,36,6,8,11
