"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",47,50,90,93,93
"2",58,61,116,119,119
"3",62,66,123,127,127
"4",63,66,128,132,132
"5",40,43,74,76,76
"6",61,65,130,134,134
"7",52,55,100,104,104
"8",53,56,105,108,108
"9",74,78,155,160,160
"10",45,47,86,89,89
"11",51,54,97,100,100
"12",47,50,88,91,91
"13",63,67,126,130,130
"14",61,65,129,133,133
"15",51,54,100,104,104
"16",53,56,104,108,108
"17",67,70,132,136,136
"18",53,56,103,107,107
"19",44,47,87,89,89
"20",45,48,86,89,89
"21",49,51,94,97,97
"22",57,61,114,117,117
"23",53,57,107,110,110
"24",57,60,116,119,119
"25",62,65,122,126,126
"26",83,87,200,204,204
"27",44,47,83,86,86
"28",69,73,136,140,140
"29",65,68,128,132,132
"30",57,60,114,117,117
"31",49,52,92,95,95
"32",83,88,176,180,180
"33",36,38,67,70,70
"34",45,48,86,89,89
"35",58,62,119,123,123
"36",72,76,143,148,148
"37",67,71,144,148,148
"38",52,55,104,107,107
"39",69,73,148,152,152
"40",52,55,99,102,102
"41",61,65,118,122,122
"42",53,56,109,113,113
"43",43,46,83,86,86
"44",53,56,105,109,109
"45",45,48,87,90,90
"46",44,47,83,86,86
"47",49,52,100,103,103
"48",62,66,125,129,129
"49",65,68,128,132,132
"50",75,79,161,165,165
"51",49,52,94,98,98
"52",65,69,127,131,131
"53",52,56,100,103,103
"54",63,67,127,131,131
"55",47,49,90,93,93
"56",63,67,124,128,128
"57",59,63,117,121,121
"58",38,40,72,75,75
"59",56,59,109,113,113
"60",56,59,114,117,117
"61",72,76,149,153,153
"62",52,55,100,104,104
"63",66,70,139,143,143
"64",55,58,111,114,114
"65",82,86,175,179,179
"66",54,57,112,115,115
"67",43,46,82,85,85
"68",42,45,80,82,82
"69",41,44,77,80,80
"70",63,67,122,126,126
"71",52,55,100,103,103
"72",64,68,128,132,132
"73",57,61,116,120,120
"74",41,44,77,80,80
"75",72,76,151,156,156
"76",60,64,114,118,118
"77",45,47,83,86,86
"78",56,59,109,113,113
"79",72,75,154,158,158
"80",48,51,92,95,95
"81",47,49,88,91,91
"82",40,43,78,80,80
"83",57,60,124,127,127
"84",49,52,92,95,95
"85",51,54,96,100,100
"86",58,61,117,121,121
"87",58,61,115,119,119
"88",63,67,127,131,131
"89",71,75,158,162,162
"90",84,89,197,201,201
"91",41,44,79,82,82
"92",55,58,106,109,109
"93",40,43,75,77,77
"94",78,83,168,173,173
"95",62,66,118,122,122
"96",46,49,89,92,92
"97",50,53,96,100,100
"98",61,64,122,125,125
"99",55,58,117,120,120
"100",58,61,115,119,119
"101",43,45,80,83,83
"102",65,69,131,135,135
"103",47,50,97,100,100
"104",82,86,207,211,211
"105",45,48,82,85,85
"106",54,57,106,109,109
"107",64,68,140,143,143
"108",61,65,123,127,127
"109",43,45,81,84,84
"110",106,111,229,235,235
"111",46,49,92,95,95
"112",48,51,91,94,94
"113",32,34,60,62,62
"114",54,57,106,109,109
"115",35,37,63,66,66
"116",65,69,128,132,132
"117",51,54,100,103,103
"118",43,45,82,85,85
"119",60,63,123,126,126
"120",35,37,64,67,67
"121",74,78,155,159,159
"122",47,50,94,97,97
"123",52,55,99,102,102
