"","age1_orange.S","age2_no_comorbid_orange.S","age2_comorbid_orange.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",6,75,7,7,22
"2",13,50,13,43,75
"3",14,86,11,44,75
"4",814,941,125,44,75
"5",3,57,9,44,75
"6",7,47,7,44,75
"7",814,941,125,44,75
"8",12,72,5,44,75
"9",11,81,9,44,75
"10",14,76,8,44,75
"11",814,941,125,44,75
"12",13,60,15,44,75
"13",10,52,7,44,75
"14",12,73,10,44,75
"15",11,88,8,44,75
"16",7,51,10,44,75
"17",18,84,18,44,72
"18",7,58,9,44,75
"19",10,54,6,44,75
"20",15,64,14,42,73
"21",8,57,3,44,75
"22",812,941,125,44,75
"23",15,57,4,11,26
"24",814,941,125,44,75
"25",12,66,9,44,75
"26",8,74,10,44,75
"27",7,67,8,44,75
"28",19,87,9,6,8
"29",14,63,8,44,74
"30",814,941,125,44,75
"31",7,63,8,44,75
"32",12,75,9,6,6
"33",11,65,9,8,11
"34",12,86,9,6,15
"35",3,55,7,44,75
"36",12,58,15,44,75
"37",17,65,10,44,75
"38",7,66,6,44,75
"39",11,83,12,9,18
"40",814,941,125,44,75
"41",9,57,10,44,74
"42",814,941,125,44,75
"43",12,52,12,44,75
"44",814,941,125,44,75
"45",8,54,9,44,75
"46",13,83,11,44,75
"47",814,940,125,44,75
"48",15,58,11,44,75
"49",9,76,14,44,75
"50",7,67,10,44,75
"51",12,72,5,42,72
"52",10,63,10,7,19
"53",8,71,11,43,75
"54",814,941,125,44,75
"55",12,67,6,44,75
"56",10,79,9,44,75
"57",3,68,6,44,75
"58",8,63,8,44,75
"59",14,85,12,44,75
"60",15,71,10,44,75
"61",814,941,125,44,75
"62",814,941,125,44,75
"63",2,64,9,44,74
"64",7,75,9,44,74
"65",10,88,7,44,75
"66",8,84,8,44,75
"67",6,69,5,44,75
"68",4,65,7,44,75
"69",10,61,8,44,75
"70",813,941,125,44,75
"71",814,941,125,44,75
"72",814,940,125,44,75
"73",814,941,125,44,75
"74",7,61,6,44,75
"75",6,59,8,8,9
"76",7,65,7,44,75
"77",15,84,8,44,75
"78",814,941,125,44,75
"79",16,97,11,44,75
"80",9,66,9,44,75
"81",4,50,4,44,75
"82",6,59,8,44,75
"83",11,58,11,44,75
"84",11,73,10,8,11
